"id","sensor","time","data","session","sensor_data","sessionsecond","hedeflenen"
"2005789","o","23/5/2024 12:31:15","21.3","3568","6977","67",
"2005790","temp","23/5/2024 12:31:15","24.91","3568","16323","67",
"2005791","pressure","23/5/2024 12:31:15","2.61","3568","160","67",
"2005792","co2","23/5/2024 12:31:15","0","3568","0","67",
"2005793","o","23/5/2024 12:31:16","21.3","3568","6977","68",
"2005794","temp","23/5/2024 12:31:16","24.88","3568","16307","68",
"2005795","pressure","23/5/2024 12:31:16","2.61","3568","160","68",
"2005796","co2","23/5/2024 12:31:16","0","3568","0","68",
"2005797","o","23/5/2024 12:31:17","21.3","3568","6977","69",
"2005798","temp","23/5/2024 12:31:17","24.93","3568","16339","69",
"2005799","pressure","23/5/2024 12:31:17","2.61","3568","160","69",
"2005800","co2","23/5/2024 12:31:17","0","3568","0","69",
"2005801","o","23/5/2024 12:31:18","21.3","3568","6977","70",
"2005802","temp","23/5/2024 12:31:18","24.86","3568","16291","70",
"2005803","pressure","23/5/2024 12:31:18","2.61","3568","160","70",
"2005804","co2","23/5/2024 12:31:18","0","3568","0","70",
"2005805","o","23/5/2024 12:31:19","21.3","3568","6985","71",
"2005806","temp","23/5/2024 12:31:19","24.87","3568","16299","71",
"2005807","pressure","23/5/2024 12:31:19","2.61","3568","160","71",
"2005808","co2","23/5/2024 12:31:19","0","3568","0","71",
"2005809","o","23/5/2024 12:31:20","21.3","3568","6993","72",
"2005810","temp","23/5/2024 12:31:20","24.93","3568","16339","72",
"2005811","pressure","23/5/2024 12:31:20","2.61","3568","160","72",
"2005812","co2","23/5/2024 12:31:20","0","3568","0","72",
"2005813","o","23/5/2024 12:31:21","21.3","3568","6993","73",
"2005814","temp","23/5/2024 12:31:21","24.91","3568","16323","73",
"2005815","pressure","23/5/2024 12:31:21","2.87","3568","176","73",
"2005816","co2","23/5/2024 12:31:21","0","3568","0","73",
"2005817","o","23/5/2024 12:31:22","21.3","3568","6993","74",
"2005818","temp","23/5/2024 12:31:22","24.93","3568","16339","74",
"2005819","pressure","23/5/2024 12:31:22","2.87","3568","176","74",
"2005820","co2","23/5/2024 12:31:22","0","3568","0","74",
"2005821","o","23/5/2024 12:31:23","21.3","3568","6993","75",
"2005822","temp","23/5/2024 12:31:23","24.93","3568","16339","75",
"2005823","pressure","23/5/2024 12:31:23","2.87","3568","176","75",
"2005824","co2","23/5/2024 12:31:23","0","3568","0","75",
"2005825","o","23/5/2024 12:31:24","21.4","3568","7009","76",
"2005826","temp","23/5/2024 12:31:24","24.88","3568","16307","76",
"2005827","pressure","23/5/2024 12:31:24","2.87","3568","176","76",
"2005828","co2","23/5/2024 12:31:24","0","3568","0","76",
"2005829","o","23/5/2024 12:31:25","21.3","3568","6993","77",
"2005830","temp","23/5/2024 12:31:25","24.87","3568","16299","77",
"2005831","pressure","23/5/2024 12:31:25","2.87","3568","176","77",
"2005832","co2","23/5/2024 12:31:25","0","3568","0","77",
"2005833","o","23/5/2024 12:31:26","21.4","3568","7009","78",
"2005834","temp","23/5/2024 12:31:26","24.87","3568","16299","78",
"2005835","pressure","23/5/2024 12:31:26","2.87","3568","176","78",
"2005836","co2","23/5/2024 12:31:26","0","3568","0","78",
"2005837","o","23/5/2024 12:31:27","21.3","3568","6993","79",
"2005838","temp","23/5/2024 12:31:27","24.88","3568","16307","79",
"2005839","pressure","23/5/2024 12:31:27","3","3568","184","79",
"2005840","co2","23/5/2024 12:31:27","0","3568","0","79",
"2005841","o","23/5/2024 12:31:28","21.4","3568","7009","80",
"2005842","temp","23/5/2024 12:31:28","24.88","3568","16307","80",
"2005843","pressure","23/5/2024 12:31:28","3","3568","184","80",
"2005844","co2","23/5/2024 12:31:28","0","3568","0","80",
"2005845","o","23/5/2024 12:31:29","21.3","3568","6993","81",
"2005846","temp","23/5/2024 12:31:29","24.91","3568","16323","81",
"2005847","pressure","23/5/2024 12:31:29","3","3568","184","81",
"2005848","co2","23/5/2024 12:31:29","0","3568","0","81",
"2005849","o","23/5/2024 12:31:30","21.4","3568","7009","82",
"2005850","temp","23/5/2024 12:31:30","24.91","3568","16323","82",
"2005851","pressure","23/5/2024 12:31:30","3.26","3568","200","82",
"2005852","co2","23/5/2024 12:31:30","0","3568","0","82",
"2005853","o","23/5/2024 12:31:31","21.4","3568","7009","83",
"2005854","temp","23/5/2024 12:31:31","24.87","3568","16299","83",
"2005855","pressure","23/5/2024 12:31:31","3.26","3568","200","83",
"2005856","co2","23/5/2024 12:31:31","0","3568","0","83",
"2005857","o","23/5/2024 12:31:32","21.4","3568","7017","84",
"2005858","temp","23/5/2024 12:31:32","24.87","3568","16299","84",
"2005859","pressure","23/5/2024 12:31:32","3.26","3568","200","84",
"2005860","co2","23/5/2024 12:31:32","0","3568","0","84",
"2005861","o","23/5/2024 12:31:33","21.4","3568","7017","85",
"2005862","temp","23/5/2024 12:31:33","24.87","3568","16299","85",
"2005863","pressure","23/5/2024 12:31:33","3.39","3568","208","85",
"2005864","co2","23/5/2024 12:31:33","0","3568","0","85",
"2005865","o","23/5/2024 12:31:34","21.4","3568","7009","86",
"2005866","temp","23/5/2024 12:31:34","24.85","3568","16283","86",
"2005867","pressure","23/5/2024 12:31:34","3.52","3568","216","86",
"2005868","co2","23/5/2024 12:31:34","0","3568","0","86",
"2005869","o","23/5/2024 12:31:35","21.4","3568","7017","87",
"2005870","temp","23/5/2024 12:31:35","24.87","3568","16299","87",
"2005871","pressure","23/5/2024 12:31:35","3.65","3568","224","87",
"2005872","co2","23/5/2024 12:31:35","0","3568","0","87",
"2005873","o","23/5/2024 12:31:36","21.4","3568","7009","88",
"2005874","temp","23/5/2024 12:31:36","24.87","3568","16299","88",
"2005875","pressure","23/5/2024 12:31:36","3.91","3568","240","88",
"2005876","co2","23/5/2024 12:31:36","0","3568","0","88",
"2005877","o","23/5/2024 12:31:37","21.4","3568","7017","89",
"2005878","temp","23/5/2024 12:31:37","24.79","3568","16243","89",
"2005879","pressure","23/5/2024 12:31:37","3.65","3568","224","89",
"2005880","co2","23/5/2024 12:31:37","0","3568","0","89",
"2005881","o","23/5/2024 12:31:38","21.4","3568","7017","90",
"2005882","temp","23/5/2024 12:31:38","24.82","3568","16267","90",
"2005883","pressure","23/5/2024 12:31:38","3.91","3568","240","90",
"2005884","co2","23/5/2024 12:31:38","0","3568","0","90",
"2005885","o","23/5/2024 12:31:39","21.4","3568","7017","91",
"2005886","temp","23/5/2024 12:31:39","24.81","3568","16259","91",
"2005887","pressure","23/5/2024 12:31:39","3.65","3568","224","91",
"2005888","co2","23/5/2024 12:31:39","0","3568","0","91",
"2005889","o","23/5/2024 12:31:40","21.5","3568","7033","92",
"2005890","temp","23/5/2024 12:31:40","24.81","3568","16259","92",
"2005891","pressure","23/5/2024 12:31:40","3.91","3568","240","92",
"2005892","co2","23/5/2024 12:31:40","0","3568","0","92",
"2005893","o","23/5/2024 12:31:41","21.5","3568","7033","93",
"2005894","temp","23/5/2024 12:31:41","24.85","3568","16283","93",
"2005895","pressure","23/5/2024 12:31:41","3.91","3568","240","93",
"2005896","co2","23/5/2024 12:31:41","0","3568","0","93",
"2005897","o","23/5/2024 12:31:42","21.5","3568","7033","94",
